Airline,Source,Destination,Stops
3U,CKG,SWA,0
3U,CKG,SYD,0
3U,CKG,SYX,0
3U,CKG,SZX,0
3U,CKG,TNA,0
3U,CKG,TSA,0
3U,CKG,TSN,0
3U,CKG,TYN,0
3U,CKG,URC,0
3U,CKG,WUH,0
3U,CKG,WUX,0
3U,CKG,XIY,0
3U,CKG,XNN,0
3U,CKG,YIH,0
3U,CKG,ZHA,0
3U,CSX,CKG,0
3U,CSX,CTU,0
3U,CSX,FOC,0
3U,CSX,KMG,0
3U,CSX,SHE,0
3U,CSX,WNZ,0
3U,CSX,XMN,0
3U,CTU,CAN,0
3U,CTU,CGO,0
3U,CTU,CKG,0
3U,CTU,CSX,0
3U,CTU,DCY,0
3U,CTU,DSN,0
3U,CTU,HAK,0
3U,CTU,HDG,0
3U,CTU,HET,0
3U,CTU,HFE,0
3U,CTU,HGH,0
3U,CTU,HKG,0
3U,CTU,HKT,0
3U,CTU,ICN,0
3U,CTU,INC,0
3U,CTU,JHG,0
3U,CTU,JIQ,0
3U,CTU,JZH,0
3U,CTU,KHN,0
3U,CTU,KMG,0
3U,CTU,KOW,0
3U,CTU,KWE,0
3U,CTU,LHW,0
3U,CTU,LJG,0
3U,CTU,LUM,0
3U,CTU,LXA,0
3U,CTU,LZY,0
3U,CTU,MEL,0
3U,CTU,NKG,0
3U,CTU,NNG,0
3U,CTU,PEK,0
3U,CTU,PVG,0
3U,CTU,PZI,0
3U,CTU,SHE,0
3U,CTU,SJW,0
3U,CTU,SYX,0
3U,CTU,SZX,0
3U,CTU,TAO,0
3U,CTU,TNA,0
3U,CTU,TSA,0
3U,CTU,TSN,0
3U,CTU,TYN,0
3U,CTU,URC,0
3U,CTU,WNZ,0
3U,CTU,WUH,0
3U,CTU,WUX,0
3U,CTU,WXN,0
3U,CTU,XIC,0
3U,CTU,XIY,0
3U,CTU,XMN,0
3U,CTU,XNN,0
3U,CTU,XUZ,0
3U,CTU,YIH,0
3U,CTU,YTY,0
3U,CZX,CKG,0
3U,CZX,HRB,0
3U,CZX,XMN,0
3U,CZX,ZUH,0
3U,DAT,TYN,0
3U,DCY,CTU,0
3U,DLC,CKG,0
3U,DLC,HGH,0
3U,DLC,HRB,0
3U,DLC,TNA,0
3U,DLC,XUZ,0
3U,DNH,LHW,0
3U,DSN,CTU,0
3U,DSN,SHE,0
3U,DYG,CKG,0
3U,DYG,NKG,0
3U,FOC,CSX,0
3U,FOC,XIY,0
3U,GXH,LXA,0
3U,GXH,XIY,0
3U,HAK,CKG,0
3U,HAK,CTU,0
3U,HAK,HGH,0
3U,HAK,NGB,0
3U,HAK,ZUH,0
3U,HDG,CTU,0
3U,HET,CTU,0
3U,HFE,CTU,0
3U,HGH,CGO,0
3U,HGH,CKG,0
3U,HGH,CTU,0
3U,HGH,DLC,0
3U,HGH,HAK,0
3U,HGH,KWE,0
3U,HGH,TSN,0
3U,HGH,TYN,0
3U,HKG,CTU,0
3U,HKG,YIH,0
3U,HKG,ZHA,0
3U,HKT,CKG,0
3U,HKT,CTU,0
3U,HRB,CGO,0
3U,HRB,CZX,0
3U,HRB,DLC,0
3U,HRB,INC,0
3U,HRB,NGB,0
3U,HRB,NKG,0
3U,HRB,NZH,0
3U,HRB,SJW,0
3U,HRB,TNA,0
3U,HRB,TSN,0
3U,HRB,WNZ,0
3U,HRB,WUH,0
3U,HRB,XIY,0
3U,HRB,XUZ,0
3U,ICN,CTU,0
3U,INC,CKG,0
3U,INC,CTU,0
3U,INC,HRB,0
3U,INC,KWL,0
3U,JGN,LHW,0
3U,JHG,CTU,0
3U,JHG,KMG,0
3U,JIQ,CTU,0
3U,JJN,KWE,0
3U,JJN,WUH,0
3U,JZH,CTU,0
3U,KHG,URC,0
3U,KHN,CKG,0
3U,KHN,CTU,0
3U,KHN,KMG,0
3U,KHN,NGB,0
3U,KMG,CGO,0
3U,KMG,CKG,0
3U,KMG,CSX,0
3U,KMG,CTU,0
3U,KMG,JHG,0
3U,KMG,KHN,0
3U,KMG,KWE,0
3U,KMG,LUM,0
3U,KMG,NGB,0
3U,KMG,NKG,0
3U,KMG,TAO,0
3U,KMG,TNA,0
3U,KMG,TPE,0
3U,KMG,WXN,0
3U,KMG,XIY,0
3U,KMG,XMN,0
3U,KMG,XUZ,0
3U,KOW,CTU,0
3U,KOW,XMN,0
3U,KWE,CTU,0
3U,KWE,HGH,0
3U,KWE,JJN,0
3U,KWE,KMG,0
3U,KWE,LHW,0
3U,KWE,SYX,0
3U,KWE,WNZ,0
3U,KWE,XUZ,0
3U,KWL,INC,0
3U,KWL,SJW,0
3U,KWL,SYX,0
3U,LHW,CKG,0
3U,LHW,CTU,0
3U,LHW,DNH,0
3U,LHW,JGN,0
3U,LHW,KWE,0
3U,LHW,TSN,0
3U,LJG,CKG,0
3U,LJG,CTU,0
3U,LJG,MIG,0
3U,LUM,CTU,0
3U,LUM,KMG,0
3U,LXA,CKG,0
3U,LXA,CTU,0
3U,LXA,GXH,0
3U,LXA,XIY,0
3U,LXA,XNN,0
3U,LYI,XIY,0
3U,LZY,CTU,0
3U,MEL,CTU,0
3U,MIG,LJG,0
3U,MIG,NKG,0
3U,MIG,SYX,0
3U,MIG,XNN,0
3U,NGB,CKG,0
3U,NGB,HAK,0
3U,NGB,HRB,0
3U,NGB,KHN,0
3U,NGB,KMG,0
3U,NGB,SHE,0
3U,NGB,SYX,0
3U,NKG,CGQ,0
3U,NKG,CKG,0
3U,NKG,CTU,0
3U,NKG,DYG,0
3U,NKG,HRB,0
3U,NKG,KMG,0
3U,NKG,MIG,0
3U,NKG,SYX,0
3U,NNG,CKG,0
3U,NNG,CTU,0
3U,NNG,SGN,0
3U,NNG,WUH,0
3U,NTG,WUH,0
3U,NZH,HRB,0
3U,PEK,CKG,0
3U,PEK,CTU,0
3U,PEK,WXN,0
3U,PEK,ZHY,0
3U,PVG,CKG,0
3U,PVG,CTU,0
3U,PVG,SPN,0
3U,PZI,CKG,0
3U,PZI,CTU,0
3U,SGN,NNG,0
3U,SHE,CSX,0
3U,SHE,CTU,0
3U,SHE,DSN,0
3U,SHE,NGB,0
3U,SHE,TYN,0
